r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V)
0.0,0.0,150.0,117100.0,9.302983175724743,8.124509485699544,11.304941599339717,10.28418153138915,29.088057999194884,0.366862870994821,117096.01873536299,569.0390416484832,1609.4854604381471,9.950597319164125,117096.01873536299,3.177767281970164,3.177767281970164,-0.8245250285517027,6.2662084836385485
0.0,0.0,150.0,117200.0,9.269094270845462,8.083312178528038,11.098955063482194,10.717302881578727,30.313110174377776,0.379076444491729,117233.29425556859,592.9358509253622,1677.075843991758,9.934737289145763,117233.29425556859,3.275978865234493,3.275978865234493,-0.9230074384432341,6.63551752073179
0.0,0.0,150.0,117300.0,9.248866393024255,8.10803056283094,11.140152370653698,10.743873002676018,30.388261825597148,0.3589766785317012,117096.01873536299,594.5129098465728,1681.5364402218331,-4.265832746252515,117096.01873536299,3.3358315498460716,3.3358315498460716,-0.9230074384432341,6.5452419783312195
0.0,0.0,150.0,117400.0,9.252771897744111,8.149227870002447,10.843531759018862,10.834140881296738,30.643577941981288,-0.24388263599010093,117508.81316098708,600.4949549219951,1698.456218774612,7.159232035930422,117302.05278592375,3.3571037503826426,3.3571037503826426,-0.8245250285517027,9.836195842206557
0.0,0.0,150.0,117500.0,9.259536495581672,8.157467331436747,10.917686911927571,10.75488400427955,30.419405641203202,-0.22876186442416127,117508.81316098708,595.7681434071345,1685.0867768724174,-5.264179898988004,117508.81316098708,3.32104277462736,3.32104277462736,-0.8409387635336247,10.722537531230339
0.0,0.0,150.0,117600.0,9.25595232985775,8.09979110139664,11.090715602047892,10.738305982889223,30.372515915828178,0.3351677288284262,117647.05882352941,596.2673220179705,1686.498667195399,-3.3021272380308293,117647.05882352941,3.3207473273976857,3.3207473273976857,-0.8901799684793904,6.6765518581865955
0.0,0.0,150.0,117700.0,9.237924388239502,8.124509485699544,11.140152370653698,10.723740506501295,30.331318527327713,0.31662181011219104,117647.05882352941,593.7105285760034,1679.2669632717661,9.660108348301291,117647.05882352941,3.291030260212916,3.291030260212916,-0.8573524985155466,6.684758725677557
0.0,0.0,150.0,117800.0,9.296375127654432,8.157467331436747,11.32965998364262,10.364303651925292,29.314677578211494,0.3003648921744461,117785.63015312131,575.9826747227266,1629.125020569622,-1.8651250445240148,117647.05882352941,3.1837172609011106,3.1837172609011106,-0.8163181610607418,6.307242821093353
0.0,0.0,150.0,117900.0,9.336649615145296,8.256340868648358,11.379096752248426,9.761528789390367,27.609772806902555,0.2924619916764466,117924.52830188679,541.4537672839695,1531.4625221819906,-2.632249654360061,117924.52830188679,2.9985867440400145,2.9985867440400145,-0.8327318960426638,5.962554386472993
0.0,0.0,150.0,118000.0,9.395240425404609,8.297538175819865,11.39557567511703,9.059347555665745,25.623704358948093,0.25201183923319853,118063.75442739078,504.052218934053,1425.6749683215808,6.088680009690223,118063.75442739078,2.768334869713614,2.768334869713614,-0.7506632211330544,5.453728602033415
