r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
90.0,0.0,175.0,115100.0,9.812128335865218,9.11324485781566,10.357403534395107,3.3996047347142007,9.615534245081221,0.1808773807337646,126509.48821161587,183.03234007359714,517.6936353699313,4.582603211761268,115074.79861910241,1.161106043717569,1.161106043717569,-0.6275602087686404,2.294084618013454,103.986
90.0,0.0,175.0,115200.0,9.795793603571717,9.014371320604047,10.431558687303815,3.5586506510653897,10.065384028969039,0.17936530357717065,131651.12452002196,191.6195617348028,541.9819660426934,4.85931899866078,115141.04778353484,1.2369416027677935,1.2369416027677935,-0.5947327388047965,2.441808232850751,105.70275000000001
90.0,0.0,175.0,115300.0,9.793568948984456,9.11324485781566,10.390361380132308,3.746628494467569,10.597065660099053,0.15213120672359987,126874.27912341408,201.97893113881466,571.2826874602663,4.049205360090713,115340.25374855824,1.296593219125843,1.296593219125843,-0.6439739437505622,2.6141524501609306,107.4195
90.0,0.0,175.0,115400.0,9.790392636601533,9.10500539638136,10.464516533041019,3.7381526870592876,10.573092456521346,0.43319376946640104,115303.98322851153,201.67158329835306,570.4133764915725,-0.4535823728887772,115364.44677503932,1.2990265553369131,1.2990265553369131,-0.6357670762596013,2.589531847688048,107.4195
90.0,0.0,175.0,115500.0,9.775149632948075,8.981413474866844,10.39860084156661,3.939537158725417,11.142693758684507,0.1479207819339681,127094.16522241478,212.7919986208007,601.8666608280266,4.988286084862815,115406.80900173109,1.3832126020591904,1.3832126020591904,-0.6357670762596013,2.729048595034384,109.87200000000001
90.0,0.0,175.0,115600.0,9.792831517186087,9.039089704906951,10.546911147384028,4.165691691495079,11.78235537355452,0.45153083774664277,126116.65790856541,224.76887102298411,635.7423715999862,-0.7415671284855562,115606.93641618497,1.4842637614753924,1.4842637614753924,-0.6357670762596013,2.9095996798355244,112.32450000000001
90.0,0.0,175.0,115700.0,9.764269424124082,9.014371320604047,10.456277071606717,4.379801770166445,12.387950127750152,0.14889820197441833,127462.34067207416,238.2758325294917,673.945827897895,4.702596859926592,115740.74074074073,1.5678260862683566,1.5678260862683566,-0.6111464737867185,3.0409095596909,114.77700000000002
90.0,0.0,175.0,115800.0,9.763556710710015,8.989652936301146,10.497474378778222,4.38868315987988,12.413070491321076,0.146742865474964,115673.7998843262,237.888907818107,672.8514395489799,4.709274767302747,115740.74074074073,1.5477602952529574,1.5477602952529574,-0.660387678732484,3.0737370296547435,115.26750000000001
90.0,0.0,175.0,115900.0,9.762300192841286,8.997892397735447,10.513953301646824,4.648248405889831,13.147231873777036,0.1563666935655509,139130.4347826087,252.43102032212832,713.9827450064645,5.461374085542452,115874.85515643106,1.695459289487781,1.695459289487781,-0.7096288836782496,3.3363567893654933,117.96525000000001
90.0,0.0,175.0,116000.0,9.746410391465234,8.882539937655233,10.579868993121233,4.931058563157164,13.947139793745697,0.49452061149157367,126582.27848101266,268.46693960263775,759.3391740696978,-1.0040923622107376,115972.58829731154,1.779846404463587,1.779846404463587,-0.7096288836782496,3.4922872716937507,121.644
90.0,0.0,175.0,116100.0,9.723117433990465,8.808384784746524,10.472755994475321,5.24124663416522,14.82448414755758,0.4479135481952328,116094.98680738786,285.55524325171353,807.6721956266431,-1.1925345609816778,116156.28299894404,1.9017799382105391,1.9017799382105391,-0.6850082812053669,3.7959413688593058,124.83225
90.0,0.0,175.0,116200.0,9.724901277390993,8.800145323312222,10.530432224515426,5.239881119824573,14.820621889757264,0.10782149822318926,116144.01858304298,285.9394737882233,808.7589636982632,4.892082481725051,116144.01858304298,1.9143118248692366,1.9143118248692366,-0.6685945462234449,4.0093199236242905,124.83225
90.0,0.0,175.0,116300.0,9.714853254171864,8.989652936301146,10.522192763081126,5.612618270235871,15.874881756381182,0.10384498592187033,116279.06976744186,305.83876593991846,865.0426613833666,4.317782447375529,116279.06976744186,2.039117762238025,2.039117762238025,-0.7260426186601716,4.0421473935881345,129.98250000000002
