r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
100.0,0.0,187.5,118000.0,9.451610700807379,8.585919326020399,10.431558687303815,8.503807527648304,24.0523998748213,-0.545345709320761,118089.10359634996,479.7507630700542,1356.940071385024,-0.6359727181000744,118025.75107296137,3.2108778888624454,3.2108778888624454,-0.6932151486963278,6.668344990695635,64.74600000000001
110.0,0.0,187.5,118000.0,9.45161070080738,8.552961480283194,10.39860084156661,8.427656327752763,23.837011755454782,-0.5862052086185567,118152.52416756176,474.29712672651203,1341.5148584224478,7.686160664830321,118089.10359634996,3.4590248377528865,3.4590248377528865,-0.6850082812053669,10.065988131953462,68.91525
120.0,0.0,187.5,118000.0,9.442889230879173,8.816624246180826,10.365642995829408,8.496315232203125,24.031208463157547,-0.8997481911670886,118089.10359634996,478.84142869479814,1354.3680853725857,5.353066775285404,118063.75442739078,3.4105755955199983,3.4105755955199983,-0.676801413714406,7.177170775135213,67.19850000000001
130.0,0.0,187.5,118000.0,9.429195245975363,8.676553401797708,10.39860084156661,8.738980377082008,24.71756914116344,-0.5486371921920208,118089.10359634996,492.80278989146996,1393.8567780796313,-0.5971573814761633,118025.75107296137,3.1159039148233005,3.1159039148233005,-0.660387678732484,6.422138965966806,59.59575
140.0,0.0,187.5,118000.0,9.408551275351725,8.52000363454599,10.56339007025263,9.099723677626447,25.737905277493798,-0.5483949256862681,118025.75107296137,513.2715248087144,1451.751103128805,-0.13972072620939252,118089.10359634996,2.490380578096003,2.490380578096003,-0.6439739437505622,5.043385227485368,44.6355
150.0,0.0,187.5,118000.0,9.404715806054057,8.709511247534913,10.415079764435212,9.287074266861673,26.267812765923896,-0.9038333056951244,118025.75107296137,522.8525984135264,1478.850471596845,7.146919644205622,118063.75442739078,2.2089137471922613,2.2089137471922613,-0.6439739437505622,4.501731973081947,37.7685
-10.0,0.0,187.5,118000.0,9.395833666627881,8.742469093272117,10.373882457263708,9.361153795479078,26.477341314053774,-0.9468063714051757,118089.10359634996,528.7665767522838,1495.5777283453476,6.6237473382048115,118063.75442739078,1.7607120929084117,1.7607120929084117,-0.6111464737867185,3.5004941391847124,29.184749999999998
-20.0,0.0,187.5,118000.0,9.40303083619074,8.618877171757601,10.431558687303815,9.338028800546224,26.411933951126073,-0.9393128177617239,118089.10359634996,528.1784336509933,1493.9142084444254,-0.47194661817321687,118063.75442739078,1.7016390607084748,1.7016390607084748,-0.676801413714406,3.369184259329337,27.22275
-30.0,0.0,187.5,118000.0,9.399409592890366,8.52000363454599,10.373882457263708,9.371417954757112,26.50637274056848,-0.8902663813729774,118089.10359634996,528.9080540491841,1495.9778865694364,6.48455470633303,118063.75442739078,1.67213537207847,1.67213537207847,-0.6111464737867185,3.3117361868926105,25.0155
-40.0,0.0,187.5,118000.0,9.40512777912577,8.725990170403513,10.431558687303815,9.380702147177265,26.532632402241006,-0.5518284268540035,118089.10359634996,529.1696194372049,1496.7177052078093,0.7179730024157998,118025.75107296137,1.6116261380676151,1.6116261380676151,-0.6357670762596013,3.1804263070372354,23.053500000000003
